id,pais,recuperados,infectados,muertos
1,Poland,0,0,0
2,Philippines,0,0,0
3,Albania,0,0,0
4,Canada,0,0,0
5,China,0,0,0
6,Mongolia,0,0,0
7,Sweden,0,0,0
9,Brazil,0,0,0
12,France,0,0,0
13,Czech Republic,0,0,0
14,Russia,0,0,0
17,Indonesia,0,0,0
18,Dominica,0,0,0
20,Uganda,0,0,0
23,Egypt,0,0,0
24,Poland,0,0,0
29,Nigeria,0,0,0
30,Barbados,0,0,0
32,Portugal,0,0,0
35,Colombia,0,0,0
36,Greece,0,0,0
41,Peru,0,0,0
43,Yemen,0,0,0
44,Marshall Islands,0,0,0
46,Serbia,0,0,0
47,Norway,0,0,0
48,Argentina,0,0,0
53,Jordan,0,0,0
54,Netherlands,0,0,0
55,Belize,0,0,0
56,Thailand,0,0,0
57,United Kingdom,0,0,0
59,Uruguay,0,0,0
60,Ecuador,0,0,0
63,Hungary,0,0,0
65,New Zealand,0,0,0
67,Paraguay,0,0,0
68,Ireland,0,0,0
70,Bolivia,0,0,0
71,Dominican Republic,0,0,0
72,Iran,0,0,0
73,Afghanistan,0,0,0
76,Myanmar,0,0,0
81,Nigeria,0,0,0
84,Japan,0,0,0
86,Senegal,0,0,0
88,Mexico,0,0,0
89,Poland,0,0,0
91,Chile,0,0,0
97,Spain,0,0,0
98,Guatemala,0,0,0
